id,timepoint,BigWigPlus,BigWigMinus
BULK_t00_1,0,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t00_1.+.bedGraph.bw,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t00_1.-.bedGraph.bw
BULK_t00_2,0,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t00_2.+.bedGraph.bw,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t00_2.-.bedGraph.bw
BULK_t00_3,0,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t00_3.+.bedGraph.bw,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t00_3.-.bedGraph.bw
BULK_t06_1,6,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t06_1.+.bedGraph.bw,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t06_1.-.bedGraph.bw
BULK_t06_2,6,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t06_2.+.bedGraph.bw,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t06_2.-.bedGraph.bw
BULK_t06_3,6,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t06_3.+.bedGraph.bw,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t06_3.-.bedGraph.bw
BULK_t24_1,24,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t24_1.+.bedGraph.bw,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t24_1.-.bedGraph.bw
BULK_t24_2,24,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t24_2.+.bedGraph.bw,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t24_2.-.bedGraph.bw
BULK_t24_3,24,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t24_3.+.bedGraph.bw,C:\Users\evans\Documents\albin_lab\single cell cage\Download raw reads\output_bulk\bw\exp.tagcount_pm.BULK_t24_3.-.bedGraph.bw
